"","country","year","per_capita","m_xpense","gdp_share","r_average","per_capita_growth","m_xpense_growth","gdp_share_growth","r_average_growth"
"145","Australia",2006,692,14240,0.0182184284558172,13739,5.81039755351682,7.56911920229642,1.1093614257636,8.89707922165418
"146","Australia",2007,820,17186,0.0181459966869133,15713,18.4971098265896,20.688202247191,-0.397574187474687,14.3678579227018
"147","Australia",2008,873,18633,0.0179723901240042,17909.5,6.46341463414634,8.41964389619458,-0.95672101072497,13.9788709985362
"148","Australia",2009,872,18960,0.0192917969094082,18796.5,-0.11454753722795,1.75495089357591,7.34129838213237,4.95267874591697
"149","Australia",2010,1050,23218,0.0186239977396025,21089,20.4128440366972,22.457805907173,-3.46157059884874,12.1964195461921
"150","Australia",2011,1183,26597,0.0176938986414435,24907.5,12.6666666666667,14.5533637694892,-4.99408940638597,18.1065958556594
"151","Australia",2012,1149,26217,0.0167991735762004,26407,-2.87404902789518,-1.42873256382299,-5.05668695957945,6.02027501756499
"152","Australia",2013,1072,24825,0.0164953307597667,25521,-6.70147954743255,-5.30953198306442,-1.80867716531113,-3.35517097739236
"153","Australia",2014,1098,25784,0.0178129495506829,25304.5,2.42537313432836,3.86304128902316,7.98782885960652,-0.848320990556796
"154","Australia",2015,1010,24046,0.0195845125365234,24915,-8.01457194899818,-6.74061433447099,9.94536576213828,-1.53925191171531
"155","Australia",2016,1094,26383,0.0209284952414869,25214.5,8.31683168316832,9.71887216169009,6.86247718679291,1.20208709612683
"156","Australia",2017,1123,27462,0.019892926317847,26922.5,2.6508226691042,4.0897547663268,-4.94812891080243,6.77388010866763
"157","South Korea",1992,265,11615,0.0369027269027269,NA,NA,NA,NA,NA
"158","South Korea",1993,279,12377,0.0341789483823914,11996,5.28301886792453,6.56048213517004,-7.38096815315359,NA
"159","South Korea",1994,302,13519,0.0319275266895546,12948,8.24372759856631,9.22679162963561,-6.58715905371937,7.93597865955318
"160","South Korea",1995,355,16085,0.028923329861881,14802,17.5496688741722,18.9806938383016,-9.40942546813849,14.3188137164041
"161","South Korea",1996,359,16409,0.0274347966333348,16247,1.12676056338028,2.01429903636929,-5.14647945328029,9.76219429806783
"162","South Korea",1997,321,14848,0.0266338780772064,15628.5,-10.5849582172702,-9.51307209458224,-2.91935299113971,-3.80685665045855
"163","South Korea",1998,224,10458,0.0279444200391705,12653,-30.2180685358255,-29.5662715517241,4.92058256843048,-19.0389352784976
"164","South Korea",1999,257,12095,0.0249257721979611,11276.5,14.7321428571429,15.6530885446548,-10.8023277526533,-10.8788429621434
"165","South Korea",2000,291,13801,0.0245731751955534,12948,13.2295719844358,14.1050020669698,-1.41458808019024,14.8228617035428
"166","South Korea",2001,271,12942,0.0242787774091322,13371.5,-6.87285223367698,-6.22418665314108,-1.19804536482717,3.27077540932963
"167","South Korea",2002,294,14102,0.0231547437727618,13522,8.48708487084871,8.96306598670994,-4.6296962051623,1.12552817559735
"168","South Korea",2003,328,15847,0.0232866461778874,14974.5,11.5646258503401,12.3741313288895,0.56965607747597,10.741754178376
"169","South Korea",2004,368,17830,0.0233106488784499,16838.5,12.1951219512195,12.5134094781347,0.103074957120047,12.4478279742228
"170","South Korea",2005,455,22160,0.0246728273718568,19995,23.6413043478261,24.2849130678632,5.84358891298906,18.745731508151
"171","South Korea",2006,515,25177,0.0248836866984537,23668.5,13.1868131868132,13.6146209386282,0.85462165895663,18.3720930232558
"172","South Korea",2007,565,27726,0.0246963885628269,26451.5,9.70873786407767,10.1243198157048,-0.752694477697245,11.758244079684
"173","South Korea",2008,530,26072,0.0260147604482856,26899,-6.19469026548673,-5.96551972877444,5.33831852420366,1.69177551367597
"174","South Korea",2009,498,24576,0.0272477098791898,25324,-6.0377358490566,-5.73795642835226,4.73942258032763,-5.85523625413584
"175","South Korea",2010,569,28175,0.0257425069627316,26375.5,14.2570281124498,14.6443684895833,-5.52414468273467,4.15218764808087
"176","South Korea",2011,623,30992,0.0257734596651412,29583.5,9.49033391915641,9.99822537710736,0.120239658298938,12.1628026008986
"177","South Korea",2012,640,31952,0.026129823173389,31472,2.72873194221509,3.09757356737223,1.38267626029987,6.3836260077408
"178","South Korea",2013,680,34137,0.0261461543057188,33044.5,6.25,6.83838257386079,0.0624999726229934,4.99650482968988
"179","South Korea",2014,745,37552,0.0266076648803331,35844.5,9.55882352941176,10.0038081846677,1.76511837732599,8.47342220339239
"180","South Korea",2015,723,36571,0.0264475851305641,37061.5,-2.95302013422819,-2.61237750319557,-0.601630208772201,3.39522102414596
"181","South Korea",2016,727,36934,0.0261831900510852,36752.5,0.553250345781466,0.992589756911214,-0.999694596590533,-0.833749308581682
"182","South Korea",2017,768,39153,0.0255489759924121,38043.5,5.63961485557084,6.00801429577083,-2.42221844410764,3.51268621182233
"183","Taiwan",1992,486,10071,0.0469305547120325,NA,NA,NA,NA,NA
"184","Taiwan",1993,558,11653,0.0495541097036132,10862,14.8148148148148,15.7084698639658,5.59029188484762,NA
"185","Taiwan",1994,567,11953,0.0466140030381275,11803,1.61290322580645,2.57444434909465,-5.93312377736318,8.66322960780703
"186","Taiwan",1995,540,11470,0.0410726477526989,11711.5,-4.76190476190476,-4.04082657073538,-11.8877481534812,-0.775226637295603
"187","Taiwan",1996,551,11765,0.0401973971547634,11617.5,2.03703703703704,2.57192676547515,-2.13098167716238,-0.802629893694232
"188","Taiwan",1997,527,11325,0.0372365565247716,11545,-4.3557168784029,-3.73990650233744,-7.36575211223828,-0.624058532386486
"189","Taiwan",1998,427,9232,0.0329117783126571,10278.5,-18.9753320683112,-18.4812362030905,-11.6143344490983,-10.9701169337375
"190","Taiwan",1999,441,9569,0.0314550307673499,9400.5,3.27868852459016,3.65034662045061,-4.42621948734666,-8.54210244685509
"191","Taiwan",2000,403,8801,0.0265474927689962,9185,-8.61678004535147,-8.02591702372244,-15.6017586968876,-2.29243125365672
"192","Taiwan",2001,363,7982,0.0265597974446285,8391.5,-9.92555831265509,-9.30576070901034,0.0463496712829487,-8.63908546543277
